rank,player,id,team,age,pos,yards_before_catch,ybc_per_reception,yards_after_catch,before_catch_perc,yac_per_reception,depth_of_target,broken_tackles,broken_tackles_per_reception,drops,drop_perc,interceptions_on_targets,passer_rating,games,games_started,targets,receptions,catch_perc,yards,yards_per_reception,td_per_reception,td,firstdowns_per_reception,first_downs,long,yards_per_target,receptions_per_game,yards_per_game,fumbles,fum_per_reception
125,Jonathan Taylor,TaylJo02,IND,21,RB,-68,-1.9,367,-0.227424749,10.2,-1.3,3,0.083333333,1,2.6,0,107.2,15,13,39,36,0.923,299,8.3,0.027777778,1,0.333333333,12,39,7.7,2.4,19.9,1,0.027777778
119,Clyde Edwards-Helaire,EdwaCl00,KAN,21,RB,2,0.1,295,0.006734007,8.2,0.6,10,0.277777778,3,5.6,1,79,13,13,54,36,0.667,297,8.3,0.027777778,1,0.333333333,12,26,5.5,2.8,22.8,0,0
186,DaeSean Hamilton,HamiDa01,DEN,25,wr,198,8.6,95,0.675767918,4.1,13.4,0,0,2,4.5,3,60.1,16,2,44,23,0.523,293,12.7,0.086956522,2,0.695652174,16,40,6.7,1.4,18.3,1,0.043478261
180,Dawson Knox,KnoxDa00,BUF,24,te,128,5.3,160,0.444444444,6.7,8.2,0,0,4,9.1,1,88.1,12,7,44,24,0.545,288,12,0.125,3,0.583333333,14,36,6.5,2,24,2,0.083333333
226,Preston Williams,WillPr01,MIA,23,wr,246,13.7,42,0.854166667,2.3,14.5,0,0,3,8.6,2,93.5,8,7,35,18,0.514,288,16,0.222222222,4,0.777777778,14,47,8.2,2.3,36,0,0
115,Chris Carson,CarsCh00,SEA,26,RB,30,0.8,257,0.104529617,6.9,1.3,3,0.081081081,3,6.5,4,85.4,12,12,46,37,0.804,287,7.8,0.108108108,4,0.378378378,14,29,6.2,3.1,23.9,1,0.027027027
146,Chris Herndon,HernCh00,NYJ,24,TE,159,5.1,128,0.554006969,4.1,6.8,1,0.032258065,4,8.9,0,108.3,16,13,45,31,0.689,287,9.3,0.096774194,3,0.548387097,17,26,6.4,1.9,17.9,2,0.064516129
150,Isaiah McKenzie,McKeIs00,BUF,25,wr,92,3.1,190,0.326241135,6.3,4.4,0,0,1,2.9,0,140.8,16,7,34,30,0.882,282,9.4,0.166666667,5,0.566666667,17,46,8.3,1.9,17.6,0,0
156,Cameron Brate,BratCa00,TAM,29,te,211,7.5,71,0.74822695,2.5,8.6,0,0,0,0,1,108.6,16,1,34,28,0.824,282,10.1,0.071428571,2,0.607142857,17,25,8.3,1.8,17.6,0,0
158,Isaiah Ford,FordIs00,MIA,24,,208,7.4,68,0.753623188,2.4,9.2,0,0,1,2.3,2,62.3,10,1,44,28,0.636,276,9.9,0,0,0.642857143,18,18,6.3,2.8,27.6,0,0
208,Olamide Zaccheaus,ZaccOl01,ATL,23,wr,211,10.6,63,0.770072993,3.2,13.8,2,0.1,1,3.1,1,87.2,11,2,32,20,0.625,274,13.7,0.05,1,0.8,16,51,8.6,1.8,24.9,0,0
223,Collin Johnson,JohnCo01,JAX,23,,207,11.5,65,0.761029412,3.6,12.1,0,0,0,0,1,95.1,14,0,31,18,0.581,272,15.1,0.111111111,2,0.666666667,12,46,8.8,1.3,19.4,0,0
112,Devin Singletary,SingDe00,BUF,23,RB,0,0,269,0,7.1,1,4,0.105263158,3,6,0,87.8,16,16,50,38,0.76,269,7.1,0,0,0.210526316,8,34,5.4,2.4,16.8,1,0.026315789
209,Miles Boykin,BoykMi00,BAL,24,WR,186,9.8,80,0.69924812,4.2,11.6,0,0,0,0,1,110.6,16,13,33,19,0.576,266,14,0.210526316,4,0.736842105,14,43,8.1,1.2,16.6,0,0
167,Steven Sims,SimsSt00,WAS,23,wr,139,5.1,126,0.524528302,4.7,7.1,0,0,2,5.4,1,90.5,12,2,37,27,0.73,265,9.8,0.037037037,1,0.481481481,13,30,7.2,2.3,22.1,5,0.185185185
163,James O'Shaughnessy,O'ShJa00,JAX,28,TE,168,6,94,0.641221374,3.4,7.2,1,0.035714286,0,0,1,81.3,15,13,38,28,0.737,262,9.4,0,0,0.428571429,12,26,6.9,1.9,17.5,0,0
253,Marcus Johnson,JohnMa07,IND,26,wr,206,14.7,49,0.807843137,3.5,17.4,0,0,2,7.1,1,66.8,11,3,28,14,0.5,255,18.2,0,0,0.785714286,11,55,9.1,1.3,23.2,0,0
137,Jerick McKinnon,McKiJe00,SFO,28,rb,75,2.3,178,0.296442688,5.4,3.4,1,0.03030303,2,4.3,3,64.9,16,4,46,33,0.717,253,7.7,0.03030303,1,0.363636364,12,26,5.5,2.1,15.8,0,0
179,Will Dissly,DissWi00,SEA,24,TE,82,3.4,169,0.326693227,7,4.8,0,0,1,3.4,1,111.4,16,12,29,24,0.828,251,10.5,0.083333333,2,0.5,12,28,8.7,1.5,15.7,0,0
185,Jack Doyle,DoylJa00,IND,30,TE,160,7,91,0.637450199,4,6.9,1,0.043478261,0,0,0,122.2,14,12,33,23,0.697,251,10.9,0.130434783,3,0.565217391,13,28,7.6,1.6,17.9,1,0.043478261
157,Trey Burton,BurtTr01,IND,29,te,163,5.8,87,0.652,3.1,7.5,1,0.035714286,4,8.5,1,86.3,13,4,47,28,0.596,250,8.9,0.107142857,3,0.5,14,20,5.3,2.2,19.2,0,0
160,Duke Johnson,JohnDu00,HOU,27,rb,29,1,220,0.116465863,7.9,1.9,2,0.071428571,2,5.7,0,105.8,11,5,35,28,0.8,249,8.9,0.035714286,1,0.285714286,8,48,7.1,2.5,22.6,3,0.107142857
123,Antonio Gibson,GibsAn00,WAS,22,rb,-54,-1.5,301,-0.218623482,8.4,-0.8,8,0.222222222,2,4.5,0,90.1,14,10,44,36,0.818,247,6.9,0,0,0.25,9,40,5.6,2.6,17.6,2,0.055555556
211,Ross Dwelley,DwelRo00,SFO,25,te,138,7.3,107,0.563265306,5.6,7.6,1,0.052631579,0,0,0,123.1,16,9,24,19,0.792,245,12.9,0.052631579,1,0.526315789,10,36,10.2,1.2,15.3,0,0
162,Cole Kmet,KmetCo00,CHI,21,te,107,3.8,136,0.440329218,4.9,6.5,2,0.071428571,2,4.5,1,83.8,16,9,44,28,0.636,243,8.7,0.071428571,2,0.428571429,12,38,5.5,1.8,15.2,1,0.035714286
181,Greg Olsen,OlseGr00,SEA,35,te,190,7.9,49,0.794979079,2,7.8,0,0,2,5.4,2,69.5,11,8,37,24,0.649,239,10,0.041666667,1,0.666666667,16,22,6.5,2.2,21.7,0,0
134,Josh Jacobs*,JacoJo01,LVR,22,RB,0,0,238,0,7.2,0.7,4,0.121212121,2,4.4,0,85.2,15,15,45,33,0.733,238,7.2,0,0,0.272727273,9,29,5.3,2.2,15.9,2,0.060606061
178,Harrison Bryant,BryaHa00,CLE,22,te,121,5,117,0.508403361,4.9,7.7,2,0.083333333,3,7.9,2,85.2,15,9,38,24,0.632,238,9.9,0.125,3,0.583333333,14,35,6.3,1.6,15.9,2,0.083333333
148,Jamaal Williams,WillJa06,GNB,25,rb,17,0.5,219,0.072033898,7.1,0.5,4,0.129032258,2,5.7,0,104.3,14,3,35,31,0.886,236,7.6,0.032258065,1,0.35483871,11,29,6.7,2.2,16.9,0,0
229,Chad Hansen,HansCh00,HOU,25,wr,197,11.6,39,0.834745763,2.3,12.2,0,0,1,4.2,0,116,5,2,24,17,0.708,236,13.9,0.058823529,1,0.647058824,11,38,9.8,3.4,47.2,0,0
251,DeSean Jackson,JackDe00,PHI,34,wr,171,12.2,65,0.724576271,4.6,16.6,0,0,2,7.7,1,81.6,5,5,26,14,0.538,236,16.9,0.071428571,1,0.714285714,10,81,9.1,2.8,47.2,0,0
122,Leonard Fournette,FourLe00,TAM,25,rb,-2,-0.1,235,-0.008583691,6.5,0.1,5,0.138888889,7,14.9,0,86.6,13,3,47,36,0.766,233,6.5,0,0,0.25,9,20,5,2.8,17.9,0,0
169,Jordan Reed,ReedJo02,SFO,30,te,147,5.7,84,0.636363636,3.2,8,2,0.076923077,3,6.5,1,90,10,1,46,26,0.565,231,8.9,0.153846154,4,0.615384615,16,26,5,2.6,23.1,0,0
187,Adam Humphries,HumpAd00,TEN,27,,183,8,45,0.802631579,2,9.6,0,0,1,2.9,1,91.1,7,1,35,23,0.657,228,9.9,0.086956522,2,0.47826087,11,23,6.5,3.3,32.6,0,0
196,Andy Isabella,IsabAn00,ARI,24,wr,142,6.8,82,0.633928571,3.9,11.3,2,0.095238095,2,5.7,3,62.1,13,2,35,21,0.6,224,10.7,0.095238095,2,0.476190476,10,54,6.4,1.6,17.2,1,0.047619048
214,Van Jefferson,JeffVa00,LAR,24,,174,9.2,46,0.790909091,2.4,10.2,2,0.105263158,1,3.2,2,66.6,16,0,31,19,0.613,220,11.6,0.052631579,1,0.578947368,11,31,7.1,1.2,13.8,1,0.052631579
126,James Conner,ConnJa00,PIT,25,RB,-15,-0.4,230,-0.069767442,6.6,-0.1,3,0.085714286,4,9.3,0,87.5,13,11,43,35,0.814,215,6.1,0,0,0.285714286,10,18,5,2.7,16.5,2,0.057142857
192,Marquez Callaway,CallMa01,NOR,22,wr,155,7.4,58,0.727699531,2.8,8.4,2,0.095238095,0,0,0,99.5,11,3,27,21,0.778,213,10.1,0,0,0.476190476,10,27,7.9,1.9,19.4,0,0
218,David Njoku,NjokDa00,CLE,24,te,126,6.6,87,0.591549296,4.6,7.4,2,0.105263158,1,3.4,0,110.3,13,5,29,19,0.655,213,11.2,0.105263158,2,0.684210526,13,28,7.3,1.5,16.4,0,0
177,Boston Scott,ScotBo02,PHI,25,rb,31,1.2,181,0.146226415,7.2,2.6,1,0.04,0,0,0,93.7,16,4,36,25,0.694,212,8.5,0.04,1,0.32,8,18,5.9,1.6,13.3,2,0.08
155,Lynn Bowden Jr.,BowdLy00,MIA,23,rb,99,3.5,112,0.469194313,4,5,6,0.214285714,0,0,2,66.4,10,4,37,28,0.757,211,7.5,0,0,0.464285714,13,22,5.7,2.8,21.1,0,0
176,Jacob Hollister,HollJa03,SEA,27,te,129,5.2,80,0.61722488,3.2,5.9,0,0,2,5,1,90.5,16,5,40,25,0.625,209,8.4,0.12,3,0.56,14,20,5.2,1.6,13.1,0,0
171,Durham Smythe,SmytDu00,MIA,25,TE,86,3.3,122,0.413461538,4.7,3.9,2,0.076923077,1,3.4,0,119.5,15,13,29,26,0.897,208,8,0.076923077,2,0.5,13,19,7.2,1.7,13.9,0,0
216,Kyle Juszczyk*,JuszKy00,SFO,29,FB,101,5.3,101,0.5,5.3,6.5,0,0,2,6.9,1,110.9,16,15,29,19,0.655,202,10.6,0.210526316,4,0.526315789,10,41,7,1.2,12.6,1,0.052631579
199,Chad Beebe,BeebCh00,MIN,26,,128,6.4,73,0.63681592,3.7,6,2,0.1,1,3.3,1,93.9,14,0,30,20,0.667,201,10.1,0.1,2,0.6,12,40,6.7,1.4,14.4,2,0.1
201,Devin Duvernay,DuveDe00,BAL,23,wr,83,4.2,118,0.412935323,5.9,6.2,1,0.05,1,3.8,2,66.3,16,3,26,20,0.769,201,10.1,0,0,0.4,8,39,7.7,1.3,12.6,0,0
175,Brian Hill,HillBr02,ATL,25,rb,37,1.5,162,0.185929648,6.5,1.3,4,0.16,3,10,0,94.3,16,1,30,25,0.833,199,8,0,0,0.28,7,26,6.6,1.6,12.4,2,0.08
262,Ryan Izzo,IzzoRy00,NWE,25,TE,131,10.1,68,0.658291457,5.2,10.3,1,0.076923077,2,10,1,76.9,12,12,20,13,0.65,199,15.3,0,0,0.461538462,6,50,10,1.1,16.6,1,0.076923077
166,Miles Sanders,SandMi01,PHI,23,RB,-11,-0.4,208,-0.055837563,7.4,1.9,3,0.107142857,7,13.5,2,46.7,12,11,52,28,0.538,197,7,0,0,0.285714286,8,28,3.8,2.3,16.4,4,0.142857143
168,Isaiah Wright,WrigIs01,WAS,23,wr,54,2,143,0.274111675,5.3,3.9,2,0.074074074,1,2.9,0,89.8,14,6,35,27,0.771,197,7.3,0,0,0.37037037,10,22,5.6,1.9,14.1,3,0.111111111
210,Tyler Conklin,ConkTy00,MIN,25,te,68,3.6,126,0.350515464,6.6,4.4,1,0.052631579,2,7.7,0,106.9,16,2,26,19,0.731,194,10.2,0.052631579,1,0.578947368,11,30,7.5,1.2,12.1,1,0.052631579
164,Tony Pollard,PollTo00,DAL,23,rb,-39,-1.4,232,-0.202072539,8.3,-0.4,4,0.142857143,4,10,0,88.9,16,2,40,28,0.7,193,6.9,0.035714286,1,0.321428571,9,30,4.8,1.8,12.1,0,0
285,Bryan Edwards,EdwaBr01,LVR,22,wr,113,10.3,80,0.585492228,7.3,8.5,2,0.181818182,0,0,0,137.5,12,3,15,11,0.733,193,17.5,0.090909091,1,0.818181818,9,34,12.9,0.9,16.1,0,0
172,Rex Burkhead,BurkRe00,NWE,30,,-9,-0.4,201,-0.046875,8,0.9,2,0.08,0,0,1,107.1,10,0,33,25,0.758,192,7.7,0.12,3,0.44,11,24,5.8,2.5,19.2,0,0
234,Cedrick Wilson Jr.,WilsCe01,DAL,25,,76,4.5,113,0.402116402,6.6,8.7,1,0.058823529,3,10.7,1,89.7,16,0,28,17,0.607,189,11.1,0.117647059,2,0.588235294,10,42,6.8,1.1,11.8,0,0
254,Olabisi Johnson,JohnOl00,MIN,23,wr,140,10,49,0.740740741,3.5,11.3,2,0.142857143,0,0,1,83,16,3,19,14,0.737,189,13.5,0,0,0.642857143,9,29,9.9,0.9,11.8,0,0
215,Kerryon Johnson,JohnKe06,DET,23,rb,4,0.2,183,0.021390374,9.6,-0.1,1,0.052631579,2,7.7,0,105.8,16,2,26,19,0.731,187,9.8,0.052631579,1,0.578947368,11,20,7.2,1.2,11.7,1,0.052631579
231,Mohamed Sanu,SanuMo00,2TM,31,,150,8.8,37,0.802139037,2.2,12,0,0,1,4.2,,107.5,10,4,24,17,0.708,187,11,0.058823529,1,0.764705882,13,21,7.8,1.7,18.7,0,0
308,Kalif Raymond,RaymKa00,TEN,26,,149,16.6,38,0.796791444,4.2,17.5,0,0,2,13.3,1,76.3,15,3,15,9,0.6,187,20.8,0,0,0.777777778,7,61,12.5,0.6,12.5,0,0
203,Deonte Harris,HarrDe07,NOR,23,wr,59,3,127,0.317204301,6.4,4,4,0.2,1,4,1,94.3,9,2,25,20,0.8,186,9.3,0.05,1,0.5,10,40,7.4,2.2,20.7,3,0.15
287,KhaDarel Hodge,HodgKh00,CLE,25,,157,14.3,23,0.872222222,2.1,16.4,0,0,0,0,1,75.6,9,0,17,11,0.647,180,16.4,0,0,1,11,42,10.6,1.2,20,0,0
191,Latavius Murray,MurrLa00,NOR,30,ss,-22,-1,198,-0.125,8.6,-1,2,0.086956522,2,7.7,0,107.7,15,7,26,23,0.885,176,7.7,0.043478261,1,0.347826087,8,25,6.8,1.5,11.7,1,0.043478261
239,Mack Hollins,HollMa00,MIA,27,wr,147,9.2,29,0.835227273,1.8,9.6,0,0,2,8,0,98.1,16,2,25,16,0.64,176,11,0.0625,1,0.4375,7,34,7,1,11,1,0.0625
213,Justin Jackson,JackJu01,LAC,24,rb,-43,-2.3,216,-0.248554913,11.4,-1.8,5,0.263157895,1,4.2,0,96.7,9,4,24,19,0.792,173,9.1,0,0,0.368421053,7,34,7.2,2.1,19.2,0,0
243,KeeSean Johnson,JohnKe07,ARI,24,wr,123,8.2,50,0.710982659,3.3,10.9,0,0,1,4.3,0,87.8,8,1,23,15,0.652,173,11.5,0,0,0.466666667,7,45,7.5,1.9,21.6,0,0
246,Adam Trautman,TrauAd00,NOR,23,te,54,3.6,117,0.315789474,7.8,4,2,0.133333333,0,0,0,132,15,6,16,15,0.938,171,11.4,0.066666667,1,0.6,9,41,10.7,1,11.4,0,0
273,Tyler Johnson,JohnTy00,TAM,22,wr,97,8.1,72,0.573964497,6,9.9,1,0.083333333,0,0,0,141.5,14,3,17,12,0.706,169,14.1,0.166666667,2,0.75,9,35,9.9,0.9,12.1,0,0
233,Jeff Smith,SmitJe03,NYJ,23,wr,118,6.9,49,0.706586826,2.9,12.6,0,0,2,5.4,2,36.7,12,4,37,17,0.459,167,9.8,0,0,0.529411765,9,21,4.5,1.4,13.9,0,0
295,John Hightower,HighJo00,PHI,24,wr,110,11,57,0.658682635,5.7,22.6,0,0,3,10.3,5,15.2,13,4,29,10,0.345,167,16.7,0,0,0.5,5,59,5.8,0.8,12.8,0,0
154,Kalen Ballage,BallKa00,2TM,25,,-47,-1.6,213,-0.28313253,7.3,-0.5,4,0.137931034,2,5.4,,85.4,11,2,37,29,0.784,166,5.7,0,0,0.172413793,5,21,4.5,2.6,15.1,1,0.034482759
161,Ronald Jones II,JoneRo01,TAM,23,RB,8,0.3,157,0.048484848,5.6,0.9,1,0.035714286,5,11.9,1,72,14,13,42,28,0.667,165,5.9,0.035714286,1,0.071428571,2,37,3.9,2,11.8,2,0.071428571
174,Todd Gurley,GurlTo01,ATL,26,RB,41,1.6,123,0.25,4.9,1.5,3,0.12,4,11.4,0,81.1,15,15,35,25,0.714,164,6.6,0,0,0.28,7,26,4.7,1.7,10.9,2,0.08
222,Dontrelle Inman,InmaDo00,WAS,31,,119,6.6,44,0.73006135,2.4,8.3,0,0,1,3.6,2,74,10,2,28,18,0.643,163,9.1,0.111111111,2,0.611111111,11,17,5.8,1.8,16.3,1,0.055555556
249,Pharaoh Brown,BrowPh01,HOU,26,te,87,6.2,76,0.533742331,5.4,7.9,4,0.285714286,0,0,0,148.7,13,9,16,14,0.875,163,11.6,0.142857143,2,0.642857143,9,29,10.2,1.1,12.5,0,0
184,Malcolm Brown,BrowMa03,LAR,27,,-16,-0.7,178,-0.098765432,7.7,-0.3,1,0.043478261,3,9.1,0,80.6,16,0,33,23,0.697,162,7,0,0,0.391304348,9,30,4.9,1.4,10.1,1,0.043478261
264,Byron Pringle,PrinBy00,KAN,27,wr,92,7.1,68,0.575,5.2,10.2,2,0.153846154,0,0,0,124.6,13,3,17,13,0.765,160,12.3,0.076923077,1,0.692307692,9,37,9.4,1,12.3,0,0
238,Darrell Henderson,HendDa00,LAR,23,RB,-1,-0.1,160,-0.006289308,10,0.7,3,0.1875,0,0,1,81.8,15,11,24,16,0.667,159,9.9,0.0625,1,0.5,8,28,6.6,1.1,10.6,0,0
265,Freddie Swain,SwaiFr00,SEA,22,wr,58,4.5,101,0.364779874,7.8,10.7,0,0,0,0,0,117,16,1,21,13,0.619,159,12.2,0.153846154,2,0.461538462,6,23,7.6,0.8,9.9,0,0
299,Donald Parham,ParhDo00,LAC,23,te,103,10.3,56,0.647798742,5.6,8.8,0,0,0,0,0,116.5,13,5,20,10,0.5,159,15.9,0.3,3,0.8,8,26,8,0.8,12.2,0,0
142,Melvin Gordon,GordMe00,DEN,27,rb,-9,-0.3,167,-0.056962025,5.2,0.1,4,0.125,3,6.8,0,85.2,15,10,44,32,0.727,158,4.9,0.03125,1,0.21875,7,20,3.6,2.1,10.5,4,0.125
242,Raheem Mostert,MostRa00,SFO,28,rb,20,1.3,136,0.128205128,8.5,1.1,1,0.0625,0,0,0,118.4,8,8,19,16,0.842,156,9.8,0.0625,1,0.3125,5,76,8.2,2,19.5,1,0.0625
248,Noah Brown,BrowNo00,DAL,24,wr,107,7.6,47,0.694805195,3.4,10.3,0,0,0,0,0,77.4,16,1,24,14,0.583,154,11,0,0,0.428571429,6,20,6.4,0.9,9.6,0,0
255,Zay Jones,JoneZa00,LVR,25,wr,89,6.4,65,0.577922078,4.6,7.1,2,0.142857143,2,10,1,88.3,16,2,20,14,0.7,154,11,0.071428571,1,0.428571429,6,37,7.7,0.9,9.6,0,0
236,Nick Chubb*,ChubNi00,CLE,25,RB,17,1.1,133,0.113333333,8.3,2.7,4,0.25,0,0,0,101.4,12,12,18,16,0.889,150,9.4,0,0,0.375,6,26,8.3,1.3,12.5,1,0.0625
258,Auden Tate,TateAu00,CIN,23,wr,92,6.6,58,0.613333333,4.1,9.4,1,0.071428571,0,0,0,83.5,9,2,22,14,0.636,150,10.7,0,0,0.642857143,9,19,6.8,1.6,16.7,0,0
278,Adam Shaheen,ShahAd00,MIA,26,te,45,3.8,105,0.3,8.8,4.3,4,0.333333333,0,0,0,115.5,16,5,22,12,0.545,150,12.5,0.25,3,0.75,9,43,6.8,0.8,9.4,0,0
230,Christian McCaffrey,McCaCh01,CAR,24,rb,26,1.5,123,0.174496644,7.2,1.4,3,0.176470588,0,0,1,95,3,3,19,17,0.895,149,8.8,0.058823529,1,0.470588235,8,24,7.8,5.7,49.7,0,0
189,Joshua Kelley,KellJo01,LAC,23,,-25,-1.1,173,-0.168918919,7.5,-1.1,2,0.086956522,0,0,0,93.5,14,0,23,23,1,148,6.4,0,0,0.391304348,9,35,6.4,1.6,10.6,2,0.086956522
207,Chris Thompson,ThomCh03,JAX,30,,39,2,107,0.267123288,5.4,2.8,1,0.05,0,0,0,107.6,8,0,23,20,0.87,146,7.3,0.05,1,0.25,5,15,6.3,2.5,18.3,0,0
288,O.J. Howard,HowaO.00,TAM,26,te,129,11.7,17,0.883561644,1.5,11.9,1,0.090909091,1,5.3,0,117.4,4,1,19,11,0.579,146,13.3,0.181818182,2,0.727272727,8,33,7.7,2.8,36.5,0,0
206,Ian Thomas,ThomIa00,CAR,24,te,67,3.4,78,0.462068966,3.9,6.3,0,0,1,3.2,2,59.2,16,8,31,20,0.645,145,7.3,0.05,1,0.55,11,21,4.7,1.3,9.1,1,0.05
293,Kenny Stills,StilKe00,HOU,28,,127,11.5,17,0.881944444,1.5,12.5,0,0,3,15.8,1,77.5,10,0,19,11,0.579,144,13.1,0.090909091,1,0.727272727,8,24,7.6,1.1,14.4,0,0
261,Christian Blake,BlakCh00,ATL,24,,115,8.8,26,0.815602837,2,9.6,0,0,1,5.6,0,94.9,16,0,18,13,0.722,141,10.8,0,0,0.461538462,6,25,7.8,0.8,8.8,0,0
333,Foster Moreau,MoreFo00,LVR,23,te,89,12.7,51,0.635714286,7.3,12.1,0,0,0,0,0,158.3,16,2,9,7,0.778,140,20,0.285714286,2,0.714285714,5,47,15.6,0.4,8.8,0,0
270,Alex Erickson,EricAl01,CIN,28,wr,72,6,67,0.517985612,5.6,7.2,0,0,0,0,1,70.5,16,2,17,12,0.706,139,11.6,0,0,0.416666667,5,42,8.2,0.8,8.7,2,0.166666667
197,Joe Mixon,MixoJo00,CIN,24,rb,-29,-1.4,167,-0.210144928,8,-1,2,0.095238095,1,3.8,0,101.6,6,6,26,21,0.808,138,6.6,0.047619048,1,0.238095238,5,19,5.3,3.5,23,1,0.047619048
219,Jalen Richard,RichJa01,LVR,27,,41,2.2,97,0.297101449,5.1,2.1,0,0,1,4.3,1,73.6,13,0,23,19,0.826,138,7.3,0,0,0.263157895,5,19,6,1.5,10.6,1,0.052631579
235,Le'Veon Bell,BellLe00,2TM,28,,2,0.1,136,0.014492754,8.5,0.5,2,0.125,1,5,,95.4,11,4,20,16,0.8,138,8.6,0,0,0.4375,7,30,6.9,1.5,12.5,1,0.0625
173,Kenyan Drake,DrakKe00,ARI,26,RB,-28,-1.1,165,-0.204379562,6.6,-1,1,0.04,2,6.5,0,85.1,15,13,31,25,0.806,137,5.5,0,0,0.2,5,18,4.4,1.7,9.1,3,0.12
267,Jeff Wilson,WilsJe01,SFO,25,rb,22,1.7,111,0.165413534,8.5,1.8,0,0,5,17.9,1,81.4,12,3,28,13,0.464,133,10.2,0.230769231,3,0.615384615,8,21,4.8,1.1,11.1,2,0.153846154
198,Cordarrelle Patterson*+,PattCo00,CHI,29,wr,18,0.9,114,0.136363636,5.4,3.6,1,0.047619048,1,4,0,88.7,16,3,25,21,0.84,132,6.3,0,0,0.333333333,7,25,5.3,1.3,8.3,0,0
266,Mike Thomas,ThomMi04,CIN,26,,104,8,28,0.787878788,2.2,8.6,1,0.076923077,2,9.5,0,95.7,14,0,21,13,0.619,132,10.2,0.076923077,1,0.538461538,7,29,6.3,0.9,9.4,1,0.076923077
252,Jesse James,JameJe00,DET,26,te,53,3.8,76,0.410852713,5.4,5.4,1,0.071428571,0,0,2,72,16,7,22,14,0.636,129,9.2,0.142857143,2,0.428571429,6,31,5.9,0.9,8.1,0,0
303,Gus Edwards,EdwaGu00,BAL,25,rb,36,4,93,0.279069767,10.3,3.8,2,0.222222222,0,0,0,101.1,16,6,13,9,0.692,129,14.3,0,0,0.444444444,4,34,9.9,0.6,8.1,1,0.111111111
217,Dion Lewis,LewiDi00,NYG,30,,47,2.5,80,0.37007874,4.2,1.7,1,0.052631579,2,6.7,0,83.6,16,0,30,19,0.633,127,6.7,0.052631579,1,0.421052632,8,17,4.2,1.2,7.9,3,0.157894737
263,Alexander Mattison,MattAl01,MIN,22,rb,17,1.3,108,0.136,8.3,2.7,5,0.384615385,0,0,0,123.6,13,2,15,13,0.867,125,9.6,0.076923077,1,0.384615385,5,28,8.3,1,9.6,0,0
282,Cam Akers,AkerCa00,LAR,21,rb,32,2.9,91,0.260162602,8.3,4.2,3,0.272727273,1,7.1,0,127.1,13,5,14,11,0.786,123,11.2,0.090909091,1,0.363636364,4,38,8.8,0.8,9.5,1,0.090909091
289,Albert Okwuegbunam,OkwuAl00,DEN,22,,48,4.4,73,0.396694215,6.6,7.7,1,0.090909091,0,0,0,119,4,0,15,11,0.733,121,11,0.090909091,1,0.545454545,6,27,8.1,2.8,30.3,0,0
220,J.K. Dobbins,DobbJK00,BAL,22,rb,-9,-0.5,129,-0.075,7.2,0,2,0.111111111,4,16.7,0,85.4,15,1,24,18,0.75,120,6.7,0,0,0.222222222,4,19,5,1.2,8,2,0.111111111
274,Tyler Kroft,KrofTy00,BUF,28,,75,6.3,44,0.630252101,3.7,7.6,0,0,1,6.3,1,109.1,10,4,16,12,0.75,119,9.9,0.25,3,0.75,9,38,7.4,1.2,11.9,0,0
250,Chris Hogan,HogaCh00,NYJ,33,,78,5.6,40,0.661016949,2.9,10,1,0.071428571,0,0,1,49.8,5,4,26,14,0.538,118,8.4,0,0,0.428571429,6,27,4.5,2.8,23.6,0,0
334,Equanimeous St. Brown,St.BEq00,GNB,24,wr,58,8.3,59,0.495726496,8.4,12.1,1,0.142857143,2,15.4,0,110.1,12,1,13,7,0.538,117,16.7,0.142857143,1,0.857142857,6,24,9,0.6,9.8,0,0
225,Darrel Williams,WillDa10,KAN,25,,-40,-2.2,156,-0.344827586,8.7,-0.8,1,0.055555556,2,7.7,0,78.4,16,0,26,18,0.692,116,6.4,0,0,0.333333333,6,15,4.5,1.1,7.3,0,0
348,Alshon Jeffery,JeffAl00,PHI,30,,90,15,25,0.782608696,4.2,13.2,0,0,1,7.7,1,71,7,2,13,6,0.462,115,19.2,0.166666667,1,0.833333333,5,39,8.8,0.9,16.4,0,0
195,Wayne Gallman,GallWa00,NYG,26,rb,14,0.7,100,0.122807018,4.8,0.4,0,0,3,11.1,0,84.3,15,10,27,21,0.778,114,5.4,0,0,0.285714286,6,19,4.2,1.4,7.6,1,0.047619048
212,Derrick Henry *+,HenrDe00,TEN,26,RB,-13,-0.7,127,-0.114035088,6.7,-0.9,1,0.052631579,1,3.2,0,68.5,16,16,31,19,0.613,114,6,0,0,0.210526316,4,53,3.7,1.2,7.1,3,0.157894737
279,Jace Sternberger,SterJa00,GNB,24,,48,4,66,0.421052632,5.5,6.9,0,0,1,6.7,0,120.6,12,0,15,12,0.8,114,9.5,0.083333333,1,0.5,6,27,7.6,1,9.5,0,0
331,Sony Michel,MichSo00,NWE,25,rb,4,0.6,110,0.035087719,15.7,-0.2,1,0.142857143,0,0,0,155.8,9,6,9,7,0.778,114,16.3,0.142857143,1,0.714285714,5,31,12.7,0.8,12.7,0,0
247,Nick Boyle,BoylNi00,BAL,27,te,69,4.9,44,0.610619469,3.1,5.1,0,0,0,0,0,133.6,9,9,17,14,0.824,113,8.1,0.142857143,2,0.571428571,8,21,6.6,1.6,12.6,0,0
