rank,player,id,team,age,pos,yards_before_catch,ybc_per_reception,yards_after_catch,before_catch_perc,yac_per_reception,depth_of_target,broken_tackles,broken_tackles_per_reception,drops,drop_perc,interceptions_on_targets,passer_rating,games,games_started,targets,receptions,catch_perc,yards,yards_per_reception,td_per_reception,td,firstdowns_per_reception,first_downs,long,yards_per_target,receptions_per_game,yards_per_game,fumbles,fum_per_reception
63,Larry Fitzgerald,FitzLa00,ARI,37,WR,224,4.1,185,0.547677262,3.4,6,0,0,1,1.4,2,81.3,13,13,72,54,0.75,409,7.6,0.018518519,1,0.462962963,25,18,5.7,4.2,31.5,0,0
62,Austin Ekeler,EkelAu00,LAC,25,rb,-70,-1.3,473,-0.17369727,8.8,-1.2,7,0.12962963,2,3.1,0,102.8,10,10,65,54,0.831,403,7.5,0.037037037,2,0.37037037,20,28,6.2,5.4,40.3,1,0.018518519
113,Jordan Akins,AkinJo00,HOU,28,te,231,6.2,172,0.573200993,4.6,7.5,3,0.081081081,3,6.1,0,106.1,13,5,49,37,0.755,403,10.9,0.027027027,1,0.540540541,20,26,8.2,2.8,31,0,0
66,Chase Edmonds,EdmoCh00,ARI,24,rb,76,1.4,326,0.189054726,6.2,2,6,0.113207547,1,1.5,0,111.6,16,2,67,53,0.791,402,7.6,0.075471698,4,0.396226415,21,30,6,3.3,25.1,2,0.037735849
132,Keke Coutee,CoutKe00,HOU,23,wr,252,7.6,148,0.63,4.5,9.4,4,0.121212121,0,0,0,133.3,8,4,40,33,0.825,400,12.1,0.090909091,3,0.575757576,19,64,10,4.1,50,4,0.121212121
204,Tyron Johnson,JohnTy03,LAC,24,,339,17,59,0.851758794,3,20.5,4,0.2,0,0,0,156.7,12,0,26,20,0.769,398,19.9,0.15,3,0.75,15,55,15.3,1.7,33.2,0,0
147,Jalen Reagor,ReagJa00,PHI,21,WR,205,6.6,191,0.517676768,6.2,12.7,3,0.096774194,1,1.9,3,63.5,11,11,54,31,0.574,396,12.8,0.032258065,1,0.612903226,19,55,7.3,2.8,36,2,0.064516129
114,Braxton Berrios,BerrBr00,NYJ,25,wr,178,4.8,216,0.45177665,5.8,7.6,2,0.054054054,3,5.5,1,98.6,16,2,55,37,0.673,394,10.6,0.081081081,3,0.513513514,19,43,7.2,2.3,24.6,0,0
144,Mo Alie-Cox,AlieMo00,IND,27,te,212,6.8,182,0.538071066,5.9,6.8,0,0,1,2.6,2,104.5,15,6,39,31,0.795,394,12.7,0.064516129,2,0.612903226,19,45,10.1,2.1,26.3,1,0.032258065
188,Richie James,JameRi00,SFO,25,wr,201,8.7,193,0.510152284,8.4,10.7,3,0.130434783,2,5.7,0,113.3,11,7,35,23,0.657,394,17.1,0.043478261,1,0.652173913,15,47,11.3,2.1,35.8,2,0.086956522
153,James Washington,WashJa00,PIT,24,wr,253,8.4,139,0.645408163,4.6,12.5,1,0.033333333,4,7.1,2,90.8,16,7,56,30,0.536,392,13.1,0.166666667,5,0.633333333,19,50,7,1.9,24.5,0,0
139,Deebo Samuel,SamuDe00,SFO,24,wr,-7,-0.2,398,-0.017902813,12.1,2.2,6,0.181818182,3,6.8,2,90.2,7,5,44,33,0.75,391,11.8,0.03030303,1,0.575757576,19,35,8.9,4.7,55.9,0,0
101,Myles Gaskin,GaskMy00,MIA,23,rb,0,0,388,0,9.5,0.2,4,0.097560976,2,4.3,0,115.2,10,7,47,41,0.872,388,9.5,0.048780488,2,0.292682927,12,59,8.3,4.1,38.8,2,0.048780488
129,Golden Tate,TateGo00,NYG,32,,313,8.9,75,0.806701031,2.1,8.5,0,0,1,1.9,1,94.1,12,4,52,35,0.673,388,11.1,0.057142857,2,0.485714286,17,39,7.5,2.9,32.3,0,0
108,Anthony Firkser,FirkAn00,TEN,25,te,244,6.3,143,0.630490956,3.7,7,4,0.102564103,1,1.9,0,100.1,16,1,53,39,0.736,387,9.9,0.025641026,1,0.666666667,26,45,7.3,2.4,24.2,0,0
149,KJ Hamler,HamlKJ00,DEN,21,wr,257,8.6,124,0.674540682,4.1,10.4,4,0.133333333,7,12.5,3,70.6,13,4,56,30,0.536,381,12.7,0.1,3,0.566666667,17,49,6.8,2.3,29.3,2,0.066666667
81,James White,WhitJa02,NWE,28,,-36,-0.7,411,-0.096,8.4,-0.6,2,0.040816327,3,4.8,1,90.5,14,0,62,49,0.79,375,7.7,0.020408163,1,0.408163265,20,34,6,3.5,26.8,1,0.020408163
51,Mike Davis,DaviMi01,CAR,27,RB,-45,-0.8,418,-0.120643432,7.1,-0.5,11,0.186440678,2,2.9,1,92.4,15,12,70,59,0.843,373,6.3,0.033898305,2,0.288135593,17,23,5.3,3.9,24.9,1,0.016949153
124,Jakeem Grant,GranJa00,MIA,28,wr,201,5.6,172,0.538873995,4.8,10.5,9,0.25,3,5.6,2,77.2,14,4,54,36,0.667,373,10.4,0.027777778,1,0.611111111,22,30,6.9,2.6,26.6,2,0.055555556
152,Irv Smith Jr.,SmitIr01,MIN,22,te,239,8,126,0.654794521,4.2,8,2,0.066666667,1,2.3,0,134.4,13,7,43,30,0.698,365,12.2,0.166666667,5,0.733333333,22,36,8.5,2.3,28.1,0,0
97,Dalvin Cook*,CookDa01,MIN,25,RB,-77,-1.8,438,-0.213296399,10,-1.8,6,0.136363636,3,5.6,1,93,14,14,54,44,0.815,361,8.2,0.022727273,1,0.386363636,17,50,6.7,3.1,25.8,5,0.113636364
93,D'Andre Swift,SwifDA00,DET,21,rb,6,0.1,351,0.016806723,7.6,0.9,2,0.043478261,5,8.8,0,104.5,13,4,57,46,0.807,357,7.8,0.043478261,2,0.326086957,15,26,6.3,3.5,27.5,3,0.065217391
190,Denzel Mims,MimsDe00,NYJ,23,wr,251,10.9,106,0.703081232,4.6,15.3,5,0.217391304,1,2.3,1,70,9,8,44,23,0.523,357,15.5,0,0,0.652173913,15,30,8.1,2.6,39.7,0,0
86,Giovani Bernard,BernGi00,CIN,29,rb,5,0.1,350,0.014084507,7.4,1.3,2,0.042553191,4,6.8,1,101.6,16,10,59,47,0.797,355,7.6,0.063829787,3,0.319148936,15,42,6,2.9,22.2,1,0.021276596
89,Aaron Jones*,JoneAa00,GNB,26,RB,-10,-0.2,365,-0.028169014,7.8,1.2,6,0.127659574,4,6.3,0,98.3,14,14,63,47,0.746,355,7.6,0.042553191,2,0.319148936,15,30,5.6,3.4,25.4,2,0.042553191
106,Drew Sample,SampDr00,CIN,24,TE,151,3.8,198,0.432664756,5,4.2,5,0.125,3,5.7,1,90.8,16,13,53,40,0.755,349,8.7,0.025,1,0.4,16,23,6.6,2.5,21.8,1,0.025
120,Tyler Eifert,EifeTy00,JAX,30,te,236,6.6,113,0.676217765,3.1,8.2,0,0,0,0,4,59.7,15,4,60,36,0.6,349,9.7,0.055555556,2,0.611111111,22,28,5.8,2.4,23.3,0,0
200,Quintez Cephus,CephQu00,DET,22,wr,264,13.2,85,0.756446991,4.3,14.5,0,0,3,8.6,0,110.3,13,2,35,20,0.571,349,17.5,0.1,2,0.8,16,49,10,1.5,26.8,0,0
182,Richard Rodgers,RodgRi00,PHI,28,te,250,10.4,95,0.724637681,4,9.8,1,0.041666667,0,0,0,134.5,14,4,31,24,0.774,345,14.4,0.083333333,2,0.666666667,16,33,11.1,1.7,24.6,0,0
80,James Robinson,RobiJa00,JAX,22,RB,-39,-0.8,383,-0.113372093,7.8,-0.8,5,0.102040816,2,3.3,0,107.2,14,14,60,49,0.817,344,7,0.06122449,3,0.306122449,15,28,5.7,3.5,24.6,3,0.06122449
